requirement_id,description,asil_level
REQ-001,Brake control shall maintain commanded braking force within plus or minus 5 percent under normal braking conditions.,D
REQ-002,Brake control shall detect brake pressure sensor failure within 100 ms of signal loss.,D
REQ-003,Brake control shall enter degraded braking mode when hydraulic pressure is below the minimum safe threshold.,D
REQ-004,Brake control shall alert the driver when regenerative braking is unavailable.,C
REQ-005,Brake control shall prioritize friction braking when regenerative braking torque is insufficient.,D
REQ-006,Brake control shall prevent unintended brake release during emergency braking.,D
REQ-007,Brake control shall maintain stable brake force distribution during split-mu road conditions.,D
REQ-008,Brake control shall record a diagnostic trouble code when brake actuator response exceeds the allowed delay.,C
REQ-009,Brake control shall disable automatic hold when vehicle speed exceeds the configured release threshold.,B
REQ-010,Brake control shall confirm brake pedal plausibility using redundant pedal position signals.,D
REQ-011,Steering assist shall transition to manual fallback within 100 ms after steering angle sensor fault detection.,C
REQ-012,Steering assist shall limit assistance torque when steering torque sensor values are inconsistent.,C
REQ-013,Steering assist shall provide driver warning when electric power steering enters degraded mode.,B
REQ-014,Steering assist shall prevent unintended steering torque during ignition-on self-test.,D
REQ-015,Steering assist shall store a diagnostic trouble code when motor current exceeds the safe operating limit.,C
REQ-016,Steering assist shall reduce assistance smoothly when battery voltage falls below the operating threshold.,C
REQ-017,Steering assist shall verify steering angle sensor plausibility before enabling lane keeping support.,C
REQ-018,Steering assist shall maintain manual steering availability after power assist failure.,D
REQ-019,Steering assist shall suppress assistance output when calibration data is invalid.,C
REQ-020,Steering assist shall detect steering motor overheating and request torque derating.,C
REQ-021,Headlamp control shall maintain legally compliant beam intensity during supply voltage fluctuation.,B
REQ-022,Headlamp control shall switch to low beam when high beam actuator feedback is invalid.,B
REQ-023,Headlamp control shall alert the driver when adaptive headlamp leveling fails.,A
REQ-024,Headlamp control shall prevent glare by lowering beam angle when rear axle load increases.,B
REQ-025,Headlamp control shall enter safe default mode if ambient light sensor input is unavailable.,A
REQ-026,Headlamp control shall verify left and right lamp synchronization during automatic beam adjustment.,A
REQ-027,Headlamp control shall record a diagnostic trouble code when LED driver temperature exceeds threshold.,A
REQ-028,Headlamp control shall maintain daytime running lamp operation after non-critical adaptive lighting failure.,QM
REQ-029,Headlamp control shall detect open circuit failure in the low beam output channel.,A
REQ-030,Headlamp control shall disable adaptive bending function if steering angle input is implausible.,B
REQ-031,Engine control shall limit torque to prevent wheel spin on icy or low-traction road surfaces.,C
REQ-032,Engine control shall reduce torque output when accelerator pedal signals are inconsistent.,D
REQ-033,Engine control shall enter limp-home mode when throttle actuator feedback is invalid.,D
REQ-034,Engine control shall prevent unintended acceleration during startup initialization.,D
